번호,구분,화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치연월,위도,경도,화장실소유구분,화장실설치장소유형,오물처리방식,비상벨설치유형,화장실입구CCTV설치유무,기저귀교환대장소,리모델링연월,데이터기준일자
62,공중화장실,월성주유소,대구광역시 달서구 송현로 176 (송현동),,Y,0,0,0,0,0,0,0,0,0,달서구청 환경보호과,,09:00~18:00,,35.83299803,128.5448741,민간,주유소·충전소,수세식,없음,N,없음,,2020-08-31
63,개방화장실,본동 종합사회복지관 3층,"대구광역시 달서구 송현로 113 (송현동, 본동주공임대아파트)",,N,0,0,0,0,0,0,2,1,0,본동 종합사회복지관,,08:30~20:30,,35.82712797,128.5433262,지방자치단체,공공용시설,수세식,없음,Y,없음,,2020-08-31
64,개방화장실,본동 종합사회복지관 2층,"대구광역시 달서구 송현로 113 (송현동, 본동주공임대아파트)",,N,2,2,0,0,0,0,3,1,0,본동 종합사회복지관,,08:30~20:30,,35.82712797,128.5433262,지방자치단체,공공용시설,수세식,없음,Y,없음,,2020-08-31
65,개방화장실,본동 종합사회복지관 1층,"대구광역시 달서구 송현로 113 (송현동, 본동주공임대아파트)",,N,2,2,0,0,0,0,3,1,0,본동 종합사회복지관,,08:30~18:00,,35.82712797,128.5433262,지방자치단체,공공용시설,수세식,,Y,없음,,2020-08-31
66,공중화장실,송현시장,"대구광역시 달서구 송현동3길 2 (송현동, 송현시장)",,N,3,3,0,0,0,0,3,0,0,달서구청 경제지원과,,09:00~18:00,,35.83081476,128.5498248,민간,상업시설,수세식,없음,N,없음,,2020-08-31
67,공중화장실,오정공원,대구광역시 달서구 성서서로75길 17-7,,N,1,2,0,0,0,0,1,0,0,신당동 행정복지센터,,09:00~18:00,,35.85842692,128.4989135,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2020-08-31
68,공중화장실,성서SK주유소,대구광역시 달서구 성서로36길 75 (월암동),,N,0,0,0,0,0,0,0,0,0,달서구청 환경보호과,,09:00~18:00,,35.8331682,128.515662,민간,주유소·충전소,수세식,없음,N,없음,,2020-08-31
69,공중화장실,성서관리공단주유소,대구광역시 달서구 성서로35길 3 (월암동),,Y,0,0,0,0,0,0,0,0,0,달서구청 환경보호과,,09:00~18:00,,35.83227368,128.5065352,민간,주유소·충전소,수세식,없음,N,없음,,2020-08-31
70,개방화장실,성서메가타운,"대구광역시 달서구 성서로 420 (이곡동, 메가타운)",,N,2,3,0,0,0,0,3,0,0,달서구청 환경보호과,,09:00~18:00,,35.8550033,128.5077799,민간,기타,수세식,없음,N,없음,,2020-08-31
71,개방화장실,국민연금공단대구지역본부,대구광역시 달서구 성서로 419 (이곡동),,N,2,3,0,0,0,0,3,1,0,국민연금공단 대구지사,,09:00~20:00,,35.85499529,128.506695,공공기관,공공용시설,수세식,없음,Y,없음,,2020-08-31
